"trial","ref_position","var_area","response","correct","rt"
1,"R",11.1545531244483,"L",TRUE,4.63599991798401
2,"L",9.50216502463445,"L",FALSE,2.47099995613098
3,"R",10.2398063084111,"L",TRUE,5.79199981689453
4,"R",10.9937400622293,"L",TRUE,2.25800013542175
5,"R",8.07182782073505,"R",TRUE,1.52199983596802
6,"L",8.91315051051788,"R",FALSE,1.31500005722046
7,"L",8.25460791401565,"R",FALSE,1.50800013542175
8,"R",11.386802113615,"R",FALSE,1.52300000190735
9,"R",13.753807539586,"L",TRUE,1.20000004768372
10,"L",8.61120799160562,"L",TRUE,1.31699991226196
11,"L",13.7270423183218,"L",FALSE,1.21199989318848
12,"R",10.398752654437,"R",FALSE,1.09099984169006
13,"R",11.9023552536964,"L",TRUE,1.41700005531311
14,"R",12.7228955936152,"R",FALSE,1.51800012588501
15,"L",11.6290515402798,"L",FALSE,1.13100004196167
16,"L",13.3818918734323,"R",TRUE,1.31200003623962
17,"L",8.57646629191004,"L",TRUE,1.39999985694885
18,"R",14.8933297831099,"R",FALSE,1.11100006103516
19,"L",8.42055575409904,"L",TRUE,1.20900011062622
20,"R",9.36791654862463,"R",FALSE,1.21200013160706
